Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card
UQU-65630-479,22-01-21,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,United States,Rob,M,2.5,22.885,91.54,Robusta,Medium,Yes
FEO-11834-332,11-02-22,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,United States,Ara,D,0.2,2.985,11.94,Arabica,Dark,Yes
TKY-71558-096,15-09-21,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,United States,Ara,M,1,11.25,11.25,Arabica,Medium,No
OXY-65322-253,24-10-20,07591-92789-UA,E-M-0.2,3,Culley Farris,,United States,Exc,M,0.2,4.125,12.375,Excelsa,Medium,Yes
EVP-43500-491,20-02-19,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,United States,Ara,M,0.5,6.75,27,Arabica,Medium,Yes
WAG-26945-689,08-10-19,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,Ireland,Ara,M,0.2,3.375,16.875,Arabica,Medium,No
CHE-78995-767,02-08-22,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,Ireland,Ara,D,0.5,5.97,17.91,Arabica,Dark,No
RYZ-14633-602,20-02-19,14158-30713-OB,A-D-1,4,Mozelle Calcutt,mcalcuttt@baidu.com,Ireland,Ara,D,1,9.95,39.8,Arabica,Dark,Yes
WOQ-36015-429,25-09-21,51427-89175-QJ,L-M-0.2,5,Adrian Swaine,,United States,Lib,M,0.2,4.365,21.825,Liberica,Medium,No
WOQ-36015-429,25-09-21,51427-89175-QJ,A-D-0.5,6,Adrian Swaine,,United States,Ara,D,0.5,5.97,35.82,Arabica,Dark,No
WOQ-36015-429,25-09-21,51427-89175-QJ,L-M-0.5,6,Adrian Swaine,,United States,Lib,M,0.5,8.73,52.38,Liberica,Medium,No
SCT-60553-454,17-07-21,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,ggatheralx@123-reg.co.uk,United States,Lib,L,0.2,4.755,23.775,Liberica,Light,No
GFK-52063-244,29-06-20,44981-99666-XB,L-L-0.5,6,Una Welberry,uwelberryy@ebay.co.uk,United Kingdom,Lib,L,0.5,9.51,57.06,Liberica,Light,Yes
AMM-79521-378,01-06-21,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,United States,Ara,D,0.5,5.97,35.82,Arabica,Dark,No
QUQ-90580-772,06-02-21,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,zponting10@altervista.org,United States,Lib,M,0.2,4.365,8.73,Liberica,Medium,No
LGD-24408-274,25-04-19,13694-25001-LX,L-L-0.5,3,Silvio Strase,sstrase11@booking.com,United States,Lib,L,0.5,9.51,28.53,Liberica,Light,No
HCT-95608-959,25-04-20,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,dde12@unesco.org,United States,Rob,M,2.5,22.885,114.425,Robusta,Medium,No
OFX-99147-470,24-11-21,49860-68865-AB,R-M-1,6,Hy Zanetto,,United States,Rob,M,1,9.95,59.7,Robusta,Medium,Yes
LUO-37559-016,19-04-21,21240-83132-SP,L-M-1,3,Jessica McNess,,United States,Lib,M,1,14.55,43.65,Liberica,Medium,No
XWC-20610-167,07-07-22,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,lyeoland15@pbs.org,United States,Exc,D,0.2,3.645,7.29,Excelsa,Dark,Yes
GPU-79113-136,22-05-19,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,atolworthy16@toplist.cz,United States,Rob,D,0.2,2.685,8.055,Robusta,Dark,Yes
ULR-52653-960,04-10-21,04152-34436-IE,L-L-2.5,2,Maurie Bartol,,United States,Lib,L,2.5,36.455,72.91,Liberica,Light,No
HPI-42308-142,11-04-20,06631-86965-XP,E-M-0.5,2,Olag Baudassi,obaudassi18@seesaa.net,United States,Exc,M,0.5,8.25,16.5,Excelsa,Medium,Yes
XHI-30227-581,31-01-22,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,pkingsbury19@comcast.net,United States,Lib,D,2.5,29.785,178.71,Liberica,Dark,No
DJH-05202-380,07-11-19,85589-17020-CX,E-M-2.5,2,Donna Baskeyfied,,United States,Exc,M,2.5,31.625,63.25,Excelsa,Medium,Yes
VMW-26889-781,28-06-19,36078-91009-WU,A-L-0.2,2,Arda Curley,acurley1b@hao123.com,United States,Ara,L,0.2,3.885,7.77,Arabica,Light,Yes
DBU-81099-586,11-09-20,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,rmcgilvary1c@tamu.edu,United States,Ara,D,2.5,22.885,91.54,Arabica,Dark,No
PQA-54820-810,17-08-22,91460-04823-BX,A-L-1,3,Isis Pikett,ipikett1d@xinhuanet.com,United States,Ara,L,1,12.95,38.85,Arabica,Light,No
XKB-41924-202,19-08-22,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ibouldon1e@gizmodo.com,United States,Lib,D,0.5,7.77,15.54,Liberica,Dark,No
DWZ-69106-473,15-05-19,76447-50326-IC,L-L-2.5,4,Karry Flanders,kflanders1f@over-blog.com,Ireland,Lib,L,2.5,36.455,145.82,Liberica,Light,Yes
YHV-68700-050,11-09-19,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Rob,M,0.5,5.97,29.85,Robusta,Medium,No
YHV-68700-050,11-09-19,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Lib,L,2.5,36.455,72.91,Liberica,Light,No
KRB-88066-642,16-03-21,22107-86640-SB,L-M-1,5,Archambault Gillard,agillard1i@issuu.com,United States,Lib,M,1,14.55,72.75,Liberica,Medium,No
LQU-08404-173,03-12-20,09960-34242-LZ,L-L-1,3,Salomo Cushworth,,United States,Lib,L,1,15.85,47.55,Liberica,Light,No
CWK-60159-881,27-01-20,04671-85591-RT,E-D-0.2,3,Theda Grizard,tgrizard1k@odnoklassniki.ru,United States,Exc,D,0.2,3.645,10.935,Excelsa,Dark,Yes
EEG-74197-843,17-07-22,25729-68859-UA,E-L-1,4,Rozele Relton,rrelton1l@stanford.edu,United States,Exc,L,1,14.85,59.4,Excelsa,Light,No
UCZ-59708-525,04-03-22,05501-86351-NX,L-D-2.5,3,Willa Rolling,,United States,Lib,D,2.5,29.785,89.355,Liberica,Dark,Yes
HUB-47311-849,07-12-21,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,United States,Lib,M,0.5,8.73,26.19,Liberica,Medium,Yes
WYM-17686-694,25-02-21,58689-55264-VK,A-D-2.5,5,Correy Cottingham,ccottingham1o@wikipedia.org,United States,Ara,D,2.5,22.885,114.425,Arabica,Dark,No
ZYQ-15797-695,25-02-19,79436-73011-MM,R-D-0.5,5,Pammi Endacott,,United Kingdom,Rob,D,0.5,5.37,26.85,Robusta,Dark,Yes
EEJ-16185-108,09-02-19,65552-60476-KY,L-L-0.2,5,Nona Linklater,,United States,Lib,L,0.2,4.755,23.775,Liberica,Light,Yes
RWR-77888-800,07-02-20,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,adykes1r@eventbrite.com,United States,Ara,M,0.5,6.75,6.75,Arabica,Medium,No
LHN-75209-742,23-03-20,01433-04270-AX,R-M-0.5,6,Felecia Dodgson,,United States,Rob,M,0.5,5.97,35.82,Robusta,Medium,Yes
TIR-71396-998,06-03-22,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,acockrem1t@engadget.com,United States,Rob,D,2.5,20.585,82.34,Robusta,Dark,Yes
RXF-37618-213,15-04-22,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,bumpleby1u@soundcloud.com,United States,Rob,L,0.5,7.17,7.17,Robusta,Light,Yes
ANM-16388-634,19-11-21,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,United States,Lib,L,0.2,4.755,9.51,Liberica,Light,No
WYL-29300-070,16-10-19,42770-36274-QA,R-M-0.2,1,Hayward Goulter,hgoulter1w@abc.net.au,United States,Rob,M,0.2,2.985,2.985,Robusta,Medium,No
JHW-74554-805,26-11-19,14103-58987-ZU,R-M-1,6,Gay Rizzello,grizzello1x@symantec.com,United Kingdom,Rob,M,1,9.95,59.7,Robusta,Medium,Yes
KYS-27063-603,30-06-19,69958-32065-SW,E-L-2.5,4,Shannon List,slist1y@mapquest.com,United States,Exc,L,2.5,34.155,136.62,Excelsa,Light,No
GAZ-58626-277,04-01-21,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,sedmondson1z@theguardian.com,Ireland,Lib,L,0.2,4.755,9.51,Liberica,Light,No
RPJ-37787-335,27-10-20,76005-95461-CI,A-M-2.5,3,Aurlie McCarl,,United States,Ara,M,2.5,25.875,77.625,Arabica,Medium,No
LEF-83057-763,15-06-21,15395-90855-VB,L-M-0.2,5,Alikee Carryer,,United States,Lib,M,0.2,4.365,21.825,Liberica,Medium,Yes
RPW-36123-215,19-07-21,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,jrangall22@newsvine.com,United States,Exc,L,0.5,8.91,17.82,Excelsa,Light,Yes
WLL-59044-117,23-07-21,28476-04082-GR,R-D-1,6,Kipper Boorn,kboorn23@ezinearticles.com,Ireland,Rob,D,1,8.95,53.7,Robusta,Dark,Yes
AWT-22827-563,25-01-20,12018-75670-EU,R-L-0.2,1,Melania Beadle,,Ireland,Rob,L,0.2,3.585,3.585,Robusta,Light,Yes
QLM-07145-668,09-05-19,86437-17399-FK,E-D-0.2,2,Colene Elgey,celgey25@webs.com,United States,Exc,D,0.2,3.645,7.29,Excelsa,Dark,No
HVQ-64398-930,30-03-20,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,lmizzi26@rakuten.co.jp,United States,Ara,M,0.5,6.75,40.5,Arabica,Medium,Yes
WRT-40778-247,13-03-22,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,United States,Rob,L,1,11.95,47.8,Robusta,Light,No
SUB-13006-125,17-04-19,26103-41504-IB,A-L-0.5,5,Ami Arnow,aarnow28@arizona.edu,United States,Ara,L,0.5,7.77,38.85,Arabica,Light,Yes
CQM-49696-263,25-10-19,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,United States,Lib,L,2.5,36.455,109.365,Liberica,Light,Yes
KXN-85094-246,13-09-19,81744-27332-RR,L-M-2.5,3,Bunny Naulls,bnaulls2a@tiny.cc,Ireland,Lib,M,2.5,33.465,100.395,Liberica,Medium,Yes
XOQ-12405-419,12-04-20,91513-75657-PH,R-D-2.5,4,Hally Lorait,,United States,Rob,D,2.5,20.585,82.34,Robusta,Dark,Yes
HYF-10254-369,14-11-19,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,zsherewood2c@apache.org,United States,Lib,L,0.5,9.51,9.51,Liberica,Light,No
XXJ-47000-307,18-07-19,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,L,2.5,29.785,89.355,Arabica,Light,No
XXJ-47000-307,18-07-19,31582-23562-FM,A-D-0.2,4,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,D,0.2,2.985,11.94,Arabica,Dark,No
ZDK-82166-357,03-04-21,81431-12577-VD,A-M-1,3,Beitris Keaveney,bkeaveney2f@netlog.com,United States,Ara,M,1,11.25,33.75,Arabica,Medium,No
IHN-19982-362,29-03-21,68894-91205-MP,R-L-1,3,Elna Grise,egrise2g@cargocollective.com,United States,Rob,L,1,11.95,35.85,Robusta,Light,No
VMT-10030-889,15-12-21,87602-55754-VN,A-L-1,6,Torie Gottelier,tgottelier2h@vistaprint.com,United States,Ara,L,1,12.95,77.7,Arabica,Light,No
NHL-11063-100,20-05-20,39181-35745-WH,A-L-1,4,Loydie Langlais,,Ireland,Ara,L,1,12.95,51.8,Arabica,Light,Yes
ROV-87448-086,02-11-20,30381-64762-NG,A-M-2.5,4,Adham Greenhead,agreenhead2j@dailymail.co.uk,United States,Ara,M,2.5,25.875,103.5,Arabica,Medium,No
DGY-35773-612,25-07-20,17503-27693-ZH,E-L-1,3,Hamish MacSherry,,United States,Exc,L,1,14.85,44.55,Excelsa,Light,Yes
YWH-50638-556,14-03-19,89442-35633-HJ,E-L-0.5,4,Else Langcaster,elangcaster2l@spotify.com,United Kingdom,Exc,L,0.5,8.91,35.64,Excelsa,Light,Yes
ISL-11200-600,02-07-20,13654-85265-IL,A-D-0.2,6,Rudy Farquharson,,Ireland,Ara,D,0.2,2.985,17.91,Arabica,Dark,Yes
LBZ-75997-047,17-12-19,40946-22090-FP,A-M-2.5,6,Norene Magauran,nmagauran2n@51.la,United States,Ara,M,2.5,25.875,155.25,Arabica,Medium,No
EUH-08089-954,06-12-20,29050-93691-TS,A-D-0.2,2,Vicki Kirdsch,vkirdsch2o@google.fr,United States,Ara,D,0.2,2.985,5.97,Arabica,Dark,No
BLD-12227-251,04-03-21,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,iwhapple2p@com.com,United States,Ara,M,0.5,6.75,13.5,Arabica,Medium,No
OPY-30711-853,17-07-21,81861-66046-SU,A-D-0.2,1,Ruy Cancellieri,,Ireland,Ara,D,0.2,2.985,2.985,Arabica,Dark,No
DBC-44122-300,04-11-20,13366-78506-KP,L-M-0.2,3,Aube Follett,,United States,Lib,M,0.2,4.365,13.095,Liberica,Medium,Yes
FJQ-60035-234,05-04-21,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,,United States,Ara,L,0.2,3.885,7.77,Arabica,Light,Yes
HSF-66926-425,01-03-20,00539-42510-RY,L-D-2.5,5,Nickey Youles,nyoules2t@reference.com,Ireland,Lib,D,2.5,29.785,148.925,Liberica,Dark,Yes
LQG-41416-375,19-10-21,45190-08727-NV,L-D-1,3,Dyanna Aizikovitz,daizikovitz2u@answers.com,Ireland,Lib,D,1,12.95,38.85,Liberica,Dark,Yes
VZO-97265-841,08-07-22,87049-37901-FU,R-M-0.2,4,Bram Revel,brevel2v@fastcompany.com,United States,Rob,M,0.2,2.985,11.94,Robusta,Medium,No
MOR-12987-399,17-08-19,34015-31593-JC,L-M-1,6,Emiline Priddis,epriddis2w@nationalgeographic.com,United States,Lib,M,1,14.55,87.3,Liberica,Medium,No
UOA-23786-489,31-05-20,90305-50099-SV,A-M-0.5,6,Queenie Veel,qveel2x@jugem.jp,United States,Ara,M,0.5,6.75,40.5,Arabica,Medium,Yes
AJL-52941-018,05-05-20,55871-61935-MF,E-D-1,2,Lind Conyers,lconyers2y@twitter.com,United States,Exc,D,1,12.15,24.3,Excelsa,Dark,No
XSZ-84273-421,14-04-19,15405-60469-TM,R-M-0.5,3,Pen Wye,pwye2z@dagondesign.com,United States,Rob,M,0.5,5.97,17.91,Robusta,Medium,Yes
NUN-48214-216,29-07-20,06953-94794-FB,A-M-0.5,4,Isahella Hagland,,United States,Ara,M,0.5,6.75,27,Arabica,Medium,No
AKV-93064-769,12-12-19,22305-40299-CY,L-D-0.5,1,Terry Sheryn,tsheryn31@mtv.com,United States,Lib,D,0.5,7.77,7.77,Liberica,Dark,Yes
BRB-40903-533,15-06-22,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,United States,Exc,L,0.2,4.455,13.365,Excelsa,Light,Yes
GPR-19973-483,26-06-19,92926-08470-YS,R-D-0.5,5,Betty Fominov,bfominov33@yale.edu,United States,Rob,D,0.5,5.37,26.85,Robusta,Dark,No
XIY-43041-882,12-10-21,07250-63194-JO,A-M-1,1,Shawnee Critchlow,scritchlow34@un.org,United States,Ara,M,1,11.25,11.25,Arabica,Medium,No
YGY-98425-969,01-04-19,63787-96257-TQ,L-M-1,1,Merrel Steptow,msteptow35@earthlink.net,Ireland,Lib,M,1,14.55,14.55,Liberica,Medium,No
MSB-08397-648,10-03-21,49530-25460-RW,R-L-0.2,4,Carmina Hubbuck,,United States,Rob,L,0.2,3.585,14.34,Robusta,Light,No
WDR-06028-345,16-08-19,66508-21373-OQ,L-L-1,1,Ingeberg Mulliner,imulliner37@pinterest.com,United Kingdom,Lib,L,1,15.85,15.85,Liberica,Light,No
MXM-42948-061,11-08-20,20203-03950-FY,L-L-0.2,4,Geneva Standley,gstandley38@dion.ne.jp,Ireland,Lib,L,0.2,4.755,19.02,Liberica,Light,Yes
MGQ-98961-173,05-04-22,83895-90735-XH,L-L-0.5,4,Brook Drage,bdrage39@youku.com,United States,Lib,L,0.5,9.51,38.04,Liberica,Light,No
RFH-64349-897,22-10-19,61954-61462-RJ,E-D-0.5,3,Muffin Yallop,myallop3a@fema.gov,United States,Exc,D,0.5,7.29,21.87,Excelsa,Dark,Yes
TKL-20738-660,02-10-21,47939-53158-LS,E-M-0.2,1,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Exc,M,0.2,4.125,4.125,Excelsa,Medium,No
TKL-20738-660,02-10-21,47939-53158-LS,A-L-0.2,1,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Ara,L,0.2,3.885,3.885,Arabica,Light,No
TKL-20738-660,02-10-21,47939-53158-LS,E-M-1,5,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Exc,M,1,13.75,68.75,Excelsa,Medium,No
GOW-03198-575,13-03-21,61513-27752-FA,A-D-0.5,4,Mahala Ludwell,mludwell3e@blogger.com,United States,Ara,D,0.5,5.97,23.88,Arabica,Dark,Yes
QJB-90477-635,12-06-22,89714-19856-WX,L-L-2.5,4,Doll Beauchamp,dbeauchamp3f@usda.gov,United States,Lib,L,2.5,36.455,145.82,Liberica,Light,No
MWP-46239-785,27-04-19,87979-56781-YV,L-M-0.2,5,Stanford Rodliff,srodliff3g@ted.com,United States,Lib,M,0.2,4.365,21.825,Liberica,Medium,Yes
QDV-03406-248,23-05-19,74126-88836-KA,L-M-0.5,3,Stevana Woodham,swoodham3h@businesswire.com,Ireland,Lib,M,0.5,8.73,26.19,Liberica,Medium,Yes
GPH-40635-105,14-07-20,37397-05992-VO,A-M-1,1,Hewet Synnot,hsynnot3i@about.com,United States,Ara,M,1,11.25,11.25,Arabica,Medium,No
JOM-80930-071,10-11-21,54904-18397-UD,L-D-1,6,Raleigh Lepere,rlepere3j@shop-pro.jp,Ireland,Lib,D,1,12.95,77.7,Liberica,Dark,No
OIL-26493-755,31-08-21,19017-95853-EK,A-M-0.5,1,Timofei Woofinden,twoofinden3k@businesswire.com,United States,Ara,M,0.5,6.75,6.75,Arabica,Medium,No
CYV-13426-645,06-07-19,88593-59934-VU,E-D-1,1,Evelina Dacca,edacca3l@google.pl,United States,Exc,D,1,12.15,12.15,Excelsa,Dark,Yes
WRP-39846-614,04-03-22,47493-68564-YM,A-L-2.5,5,Bidget Tremellier,,Ireland,Ara,L,2.5,29.785,148.925,Arabica,Light,Yes
VDZ-76673-968,31-12-20,82246-82543-DW,E-D-0.5,2,Bobinette Hindsberg,bhindsberg3n@blogs.com,United States,Exc,D,0.5,7.29,14.58,Excelsa,Dark,Yes
VTV-03546-175,31-07-20,03384-62101-IY,A-L-2.5,5,Osbert Robins,orobins3o@salon.com,United States,Ara,L,2.5,29.785,148.925,Arabica,Light,Yes
GHR-72274-715,24-05-21,86881-41559-OR,L-D-1,1,Othello Syseland,osyseland3p@independent.co.uk,United States,Lib,D,1,12.95,12.95,Liberica,Dark,No
ZGK-97262-313,16-07-22,02536-18494-AQ,E-M-2.5,3,Ewell Hanby,,United States,Exc,M,2.5,31.625,94.875,Excelsa,Medium,Yes
ZFS-30776-804,05-02-21,58638-01029-CB,A-L-0.5,5,Blancha McAmish,bmcamish2e@tripadvisor.com,United States,Ara,L,0.5,7.77,38.85,Arabica,Light,Yes
QUU-91729-492,29-07-21,90312-11148-LA,A-D-0.2,4,Lowell Keenleyside,lkeenleyside3s@topsy.com,United States,Ara,D,0.2,2.985,11.94,Arabica,Dark,No
PVI-72795-960,17-03-22,68239-74809-TF,E-L-2.5,3,Elonore Joliffe,,Ireland,Exc,L,2.5,34.155,102.465,Excelsa,Light,No
PPP-78935-365,11-02-21,91074-60023-IP,E-D-1,4,Abraham Coleman,,United States,Exc,D,1,12.15,48.6,Excelsa,Dark,No
JUO-34131-517,13-02-19,07972-83748-JI,L-D-1,6,Rivy Farington,,United States,Lib,D,1,12.95,77.7,Liberica,Dark,Yes
ZJE-89333-489,13-05-22,08694-57330-XR,L-D-2.5,1,Vallie Kundt,vkundt3w@bigcartel.com,Ireland,Lib,D,2.5,29.785,29.785,Liberica,Dark,Yes
LOO-35324-159,19-05-20,68412-11126-YJ,A-L-0.2,4,Boyd Bett,bbett3x@google.de,United States,Ara,L,0.2,3.885,15.54,Arabica,Light,Yes
JBQ-93412-846,27-04-22,69037-66822-DW,E-L-2.5,4,Julio Armytage,,Ireland,Exc,L,2.5,34.155,136.62,Excelsa,Light,Yes
EHX-66333-637,09-09-20,01297-94364-XH,L-M-0.5,2,Deana Staite,dstaite3z@scientificamerican.com,United States,Lib,M,0.5,8.73,17.46,Liberica,Medium,No
WXG-25759-236,10-03-21,39919-06540-ZI,E-L-2.5,2,Winn Keyse,wkeyse40@apple.com,United States,Exc,L,2.5,34.155,68.31,Excelsa,Light,Yes
QNA-31113-984,07-04-19,60512-78550-WS,L-M-0.2,4,Osmund Clausen-Thue,oclausenthue41@marriott.com,United States,Lib,M,0.2,4.365,17.46,Liberica,Medium,No
ZWI-52029-159,12-07-20,40172-12000-AU,L-M-1,3,Leonore Francisco,lfrancisco42@fema.gov,United States,Lib,M,1,14.55,43.65,Liberica,Medium,No
ZWI-52029-159,12-07-20,40172-12000-AU,E-M-1,2,Leonore Francisco,lfrancisco42@fema.gov,United States,Exc,M,1,13.75,27.5,Excelsa,Medium,No
DFS-49954-707,21-12-21,39019-13649-CL,E-D-0.2,5,Giacobo Skingle,gskingle44@clickbank.net,United States,Exc,D,0.2,3.645,18.225,Excelsa,Dark,Yes
VYP-89830-878,04-10-20,12715-05198-QU,A-M-2.5,2,Gerard Pirdy,,United States,Ara,M,2.5,25.875,51.75,Arabica,Medium,Yes
AMT-40418-362,08-08-20,04513-76520-QO,L-D-1,1,Jacinthe Balsillie,jbalsillie46@princeton.edu,United States,Lib,D,1,12.95,12.95,Liberica,Dark,Yes
NFQ-23241-793,11-10-20,88446-59251-SQ,A-M-1,3,Quinton Fouracres,,United States,Ara,M,1,11.25,33.75,Arabica,Medium,Yes
JQK-64922-985,10-11-21,23779-10274-KN,R-M-2.5,3,Bettina Leffek,bleffek48@ning.com,United States,Rob,M,2.5,22.885,68.655,Robusta,Medium,Yes
YET-17732-678,20-06-21,57235-92842-DK,R-D-0.2,1,Hetti Penson,,United States,Rob,D,0.2,2.685,2.685,Robusta,Dark,No
NKW-24945-846,04-10-21,75977-30364-AY,A-D-2.5,5,Jocko Pray,jpray4a@youtube.com,United States,Ara,D,2.5,22.885,114.425,Arabica,Dark,No
VKA-82720-513,24-06-19,12299-30914-NG,A-M-2.5,6,Grete Holborn,gholborn4b@ow.ly,United States,Ara,M,2.5,25.875,155.25,Arabica,Medium,Yes
THA-60599-417,26-10-19,59971-35626-YJ,A-M-2.5,3,Fielding Keinrat,fkeinrat4c@dailymail.co.uk,United States,Ara,M,2.5,25.875,77.625,Arabica,Medium,Yes
MEK-39769-035,27-06-21,15380-76513-PS,R-D-2.5,3,Paulo Yea,pyea4d@aol.com,Ireland,Rob,D,2.5,20.585,61.755,Robusta,Dark,No
JAF-18294-750,06-09-19,73564-98204-EY,R-D-2.5,6,Say Risborough,,United States,Rob,D,2.5,20.585,123.51,Robusta,Dark,Yes
